file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,82,css,409426db,Jahnavi Naik,2026-03-15,14:22:00,-07:00,2026-03-15T14:22:00-07:00,0,55
style.css,83,css,409426db,Jahnavi Naik,2026-03-15,14:22:00,-07:00,2026-03-15T14:22:00-07:00,0,11
style.css,84,css,eb009ffa,Jahnavi Naik,2025-01-15,13:20:10,-08:00,2025-01-15T13:20:10-08:00,0,0
style.css,85,css,eb009ffa,Jahnavi Naik,2025-01-15,13:20:10,-08:00,2025-01-15T13:20:10-08:00,0,0
style.css,86,css,eb009ffa,Jahnavi Naik,2025-01-15,13:20:10,-08:00,2025-01-15T13:20:10-08:00,0,18
style.css,87,css,409426db,Jahnavi Naik,2026-03-15,14:22:00,-07:00,2026-03-15T14:22:00-07:00,0,46
style.css,88,css,409426db,Jahnavi Naik,2026-03-15,14:22:00,-07:00,2026-03-15T14:22:00-07:00,0,11
style.css,89,css,409426db,Jahnavi Naik,2026-03-15,14:22:00,-07:00,2026-03-15T14:22:00-07:00,0,19
style.css,90,css,409426db,Jahnavi Naik,2026-03-15,14:22:00,-07:00,2026-03-15T14:22:00-07:00,0,22
style.css,91,css,409426db,Jahnavi Naik,2026-03-15,14:22:00,-07:00,2026-03-15T14:22:00-07:00,0,48
style.css,92,css,409426db,Jahnavi Naik,2026-03-15,14:22:00,-07:00,2026-03-15T14:22:00-07:00,0,13
style.css,93,css,409426db,Jahnavi Naik,2026-03-15,14:22:00,-07:00,2026-03-15T14:22:00-07:00,0,19
style.css,94,css,409426db,Jahnavi Naik,2026-03-15,14:22:00,-07:00,2026-03-15T14:22:00-07:00,0,69
style.css,95,css,409426db,Jahnavi Naik,2026-03-15,14:22:00,-07:00,2026-03-15T14:22:00-07:00,0,42
style.css,96,css,409426db,Jahnavi Naik,2026-03-15,14:22:00,-07:00,2026-03-15T14:22:00-07:00,0,37
style.css,97,css,409426db,Jahnavi Naik,2026-03-15,14:22:00,-07:00,2026-03-15T14:22:00-07:00,0,55
style.css,98,css,409426db,Jahnavi Naik,2026-03-15,14:22:00,-07:00,2026-03-15T14:22:00-07:00,0,26
style.css,99,css,409426db,Jahnavi Naik,2026-03-15,14:22:00,-07:00,2026-03-15T14:22:00-07:00,0,34
style.css,100,css,409426db,Jahnavi Naik,2026-03-15,14:22:00,-07:00,2026-03-15T14:22:00-07:00,0,24
style.css,101,css,409426db,Jahnavi Naik,2026-03-15,14:22:00,-07:00,2026-03-15T14:22:00-07:00,0,0
style.css,102,css,409426db,Jahnavi Naik,2026-03-15,14:22:00,-07:00,2026-03-15T14:22:00-07:00,0,0
style.css,103,css,409426db,Jahnavi Naik,2026-03-15,14:22:00,-07:00,2026-03-15T14:22:00-07:00,0,24
style.css,104,css,409426db,Jahnavi Naik,2026-03-15,14:22:00,-07:00,2026-03-15T14:22:00-07:00,0,27
style.css,105,css,409426db,Jahnavi Naik,2026-03-15,14:22:00,-07:00,2026-03-15T14:22:00-07:00,0,43
style.css,106,css,eb009ffa,Jahnavi Naik,2025-01-15,13:20:10,-08:00,2025-01-15T13:20:10-08:00,0,0
style.css,107,css,eb009ffa,Jahnavi Naik,2025-01-15,13:20:10,-08:00,2025-01-15T13:20:10-08:00,0,0
style.css,108,css,eb009ffa,Jahnavi Naik,2025-01-15,13:20:10,-08:00,2025-01-15T13:20:10-08:00,0,13
style.css,109,css,eb009ffa,Jahnavi Naik,2025-01-15,13:20:10,-08:00,2025-01-15T13:20:10-08:00,0,9
style.css,110,css,81ea9c1a,Jahnavi Naik,2025-01-15,17:30:57,-08:00,2025-01-15T17:30:57-08:00,0,0
style.css,111,css,81ea9c1a,Jahnavi Naik,2025-01-15,17:30:57,-08:00,2025-01-15T17:30:57-08:00,0,0
